ID,SMILES
SBSM130955,S(=O)(=O)(N1(C(C(C(=O)O)=CCC1C2(=CC=C(C(C)C)C=C2))C3(=CC=C(C(C)(C)C)C=C3)))C4(=CC=C(C)C=C4),DNMT1
SBSM483856,ClC3(=NC(NCCC2(=CC=C(C1(=CC=CC=C1))C=C2))=C4(N=CN(C4(=N3))C6(OC(CSC5(CNCC5))C(C6O)O))),DNMT1
SBSM107636,O=C(N1(C(C(=O)N)CC2(C1)(ON=C(C2)C3(=CC(NC(=O)C(=C)C)=CC=C3))))C(=C)C,DNMT1
SBSM22708,FC1(=CC(=CC=C1)C=NNC(=O)C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4))),DNMT1
SBSM195682,O=C(NN=C(C2(=CC=C(NC(=O)CC1(=CC=CC=C1))C=C2))C)C3(=CC(O)=CC(=C3)O),DNMT1
SBSM104432,ClC4(=CC(N1(C(=O)NC(C1=O)=CC=3(N(C2(=CC=C(C(=O)O)C=C2))C=CC=3)))=CC=C4),DNMT1
SBSM117288,ClC3(=CC=C(CN1(C(SC(C1=O)=CC2(=CC(OC)=C(O)C(=C2)[N+](=O)[O-]))=O))C=C3),DNMT1
SBSM193612,O3(C(C2(=CN1(C(=NN=C1)C=C2)))=CC=C3),DNMT1
SBSM109105,ClC1(=C(C(=O)O)C=CC(=C1)C=4(OC(C=C2(NC(=O)N(C2=O)CC3(=CC=C(Cl)C=C3)))=CC=4)),DNMT1
SBSM480574,S(C1(CN(C)C(C1)C(=O)OC))CC4(OC(N3(C2(=NC=NC(=C2N=C3)N)))C(C4O)O),DNMT1
SBSM112138,S1(C(=NC=C1[N+](=O)[O-])NC(=O)COC(=O)C2(=CC(OC)=C(OC)C=C2)),DNMT1
SBSM197843,S2(C1(=NC=5(C(=CC(=CC=5(N1C(C2=CC=4(OC(C3(=C(C(=O)O)C=CC=C3))=CC=4))=O))C)C))),DNMT1
SBSM120979,ClC1(=C(Cl)C=C(Cl)C3(=C1C2(C=CCC2C(N3)C(=O)O))),DNMT1
SBSM198073,[Br]C4(=CC1(=C(OC(=C1)C(=O)NN=CC=3(N(C2(=CC=C(C(=O)O)C=C2))C=CC=3))C=C4)),DNMT1
SBSM117575,ClC4(=C(C1(=NOC3(C1C(=O)N(C2(=C(OC)C=CC(=C2)OC))C3=O)))C=CC=C4),DNMT1
SBSM124872,O=C(NC3(=CC(C1(=NOC2(C1)(CN(C(=O)CC)C(C2)C(=O)N)))=CC=C3))C(=C)C,DNMT1
SBSM194242,ClC=1(N(N=C(C=1C=NNC3(=C([N+](=O)[O-])C=C(S(=O)(=O)NC2(=C(C(=O)O)C=CC=C2))C=C3))C)C4(=CC=CC=C4)),DNMT1
SBSM480755,S(C1(CNC(C1)C(=O)OC))CC4(OC(N3(C2(=NC=NC(=C2N=C3)N)))C(C4O)O),DNMT1
SBSM341304,O=C1(N(C(=O)C2(=C1C=CC=C2))CCCCCCCCCCCCNC3(=CC=C(C(=O)NCCN(CC)CC)C=C3)),DNMT1
SBSM17296,O=C1(N(C(=O)CC(N1)=O)CC=2(OC=CC=2)),DNMT1
SBSM195187,O=[N+]([O-])NC(=NN=CC=2(OC(C1(=CC(=C(O)C=C1)C(=O)O))=CC=2))N,DNMT1
SBSM119120,S=C1(NC(=O)C(N1)=CC2(=C([N+](=O)[O-])C=C3(OCOC3(=C2)))),DNMT1
SBSM136320,O=C2(N(C1(=CC=CC=C1))C(=O)C(N2)=CC=4(N(C3(=CC=C(C(=O)O)C=C3))C=CC=4)),DNMT1
SBSM99864,S(=O)(=O)(C1(=C(O)C=CC(=C1)O))C=4(C=3(C(=C(S(=O)(=O)C2(=C(O)C=CC(=C2)O))C=CC=3)C=CC=4)),DNMT1
SBSM108438,S(=O)(=O)(NC1(=NCCC1))C5(=CC(NC(=O)C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4)))=CC=C5),DNMT1
SBSM481941,S(C1(CNC(C1)C(=O)O))CC6(OC(N3(C2(=NC=NC(=C2N=C3)NCCC5(=CC=C(C4(=CC=CC=C4))C=C5))))C(C6O)O),DNMT1
SBSM106195,O=C2(OC=C(C(=O)N1(CCOCC1))C=C2),DNMT1
SBSM132391,S(=O)(=O)([O-])CC(NC(=O)CC[N+](CCO)(C)C)(C)C,DNMT1
SBSM15329,ClC1(=C(Cl)C=CC(=C1)NC(=O)NC=3(SC(C2(=CC=NC=C2))=NN=3)),DNMT1
SBSM23786,O=C2(C1(=C(C=CC(=C1)OCCCC[N+](CC)(CC)C)C3(=C2C=C(OCCCC[N+](CC)(CC)C)C=C3))),DNMT1
SBSM156675,O=C(O)C1(=C(O)C(=C(OC)C=C1CCC2(=CC=CC=C2))CC=C(CCC=C(C)C)C),DNMT1
SBSM113805,S2(C(=O)N(CC(=O)N1(CCCC1))C(C2=CC=4(N(C3(=CC=C(C(=O)O)C=C3))C=CC=4))=O),DNMT1
SBSM196786,[Br]C1(=CC(=C(OC)C=C1)C=NNC3(=C([N+](=O)[O-])C=C(S(=O)(=O)NC2(=C(C(=O)O)C=CC=C2))C=C3)),DNMT1
SBSM122998,S2(C(NC(=O)COC(=O)C1(=CC=C(NC(=O)CC#N)C=C1))=C(C(=O)OC)C3(=C2CCCCC3)),DNMT1
SBSM129327,S(=O)(=O)(NC1(=C(C(=O)O)C=CC=C1))C3(=CC([N+](=O)[O-])=C(NN=CC2(=CC=C(SC)C=C2))C=C3),DNMT1
SBSM97671,O=C(NC3(=CC(C1(=NOC2(C1)(CN(C(=O)C=CC=CC)C(C2)C(=O)N)))=CC=C3))C(=C)C,DNMT1
SBSM122216,S(=O)(=O)(O)C1(=CC([N+](=O)[O-])=C(O)C(=C1)N),DNMT1
SBSM137074,S(=O)(=O)(NC1(=NC=NC(=C1)OC))C3(=CC=C(NC(=S)NC(=O)C=CC=2(OC=CC=2))C=C3),DNMT1
SBSM485376,ClC1(=NC(N)=C2(N=CN(C2(=N1))C3(OC(CSCCC(N)C(=O)O)C(C3O)O))),DNMT1
SBSM477663,S(CC3(OC(N2(C1(=NC(F)=NC(=C1N=C2)N)))C(C3O)O))CCC(N)C(=O)O,DNMT1
SBSM483257,ClC3(=NC(NCCC2(=CC=C(C1(=CC=CC=C1))C=C2))=C4(N=CN(C4(=N3))C6(OC(CSC5(CNC(C5)C(=O)O))C(C6O)O))),DNMT1
SBSM195166,FC1(=CC(=CC=C1)CN3(C2(=C(C=CC=C2)C(=C3)C=NNC(=O)C4(=CC(O)=CC(=C4)O)))),DNMT1
SBSM299893,O=C(NC2(=CC(NC1(=NC(=NC(=C1)C)N))=CC=C2))C5(=CC(NC=3(C=4(C(N=CC=3)=CC=CC=4)))=CC=C5),DNMT1
SBSM106463,O=C(N1(C(C(=O)N)CC2(C1)(ON=C(C2)C3(=CC(NC(=O)C(=C)C)=CC=C3))))C(=CC)C,DNMT1
SBSM138821,OC=2(C1(=C(O)C=CC=C1C=C3(C=2C(O)=CC=C3))),DNMT1
SBSM1413,S(CC3(OC(N2(C1(=NC=NC(=C1N=C2)N)))C(C3O)O))CCC(N)C(=O)O,DNMT1
SBSM481074,S(CC3(OC(N2(C1(=NC=NC(=C1C=C2)N)))C(C3O)O))CCC(N)C(=O)O,DNMT1
SBSM122227,O=C(NC4(=CC(C1(=NOC3(C1)(CN(C(=O)C2(CC2)(C))C(C3)C(=O)N)))=CC=C4))C(=C)C,DNMT1
SBSM10658,[Br]C=2(C1(=C(N=CN=C1N(C=2)C3(OC(CSCCC(N)C(=O)O)C(C3O)O))N)),DNMT1
SBSM196024,S3(C=2(C(=O)C=1(C=4(C(C=CC=1)=CC=CC=4(C=2C=C3))))),DNMT1
SBSM97980,[Br]C3(=CN=C4(N5(C(=O)C(=CC=2(OC(C1(=C(C(=O)O)C=CC=C1))=CC=2))SC5(=NC4(=C3))))),DNMT1
SBSM483575,ClC1(=NC(N)=C2(N=CN(C2(=N1))C4(OC(CSC3(CNC(C3)C(=O)O))C(C4O)O))),DNMT1
SBSM7846,O=C(OC1(C(OC=2(C=C(O)C=C(C=2(C1))O))C3(=CC(O)=C(O)C(=C3)O)))C4(=CC(O)=C(O)C(=C4)O),DNMT1
SBSM508873,[Br]C1(=C(O)C=CC(=C1)CC(=NO)C(=O)NCCSSCCNC(=O)C(=NO)CC2(=CC([Br])=C(O)C=C2)),DNMT1
