Data set,Method,Fingerprint,Confidence level (%),Recovery Rate,Area Under ROC Curve
BRD2,SB-DFP,MACCS,99.9999,0,0.704141165178571
BRD2,SB-DFP,MACCS,99.9999,0,0.762742870535714
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00446428571429,0.558964881696429
BRD2,SB-DFP,MACCS,99.9999,0,0.617891991071429
BRD2,SB-DFP,MACCS,99.9999,0,0.704299647321428
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601228073660714
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.702289542410714
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.702235035714286
BRD2,SB-DFP,MACCS,99.9999,0,0.750166852678572
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601122227678571
BRD2,SB-DFP,MACCS,99.9999,0,0.651179821428571
BRD2,SB-DFP,MACCS,99.9999,0,0.727851736607143
BRD2,SB-DFP,MACCS,99.9999,0,0.704623636160714
BRD2,SB-DFP,MACCS,99.9999,0,0.699719926339286
BRD2,SB-DFP,MACCS,99.9999,0,0.524472522321428
BRD2,SB-DFP,MACCS,99.9999,0,0.683215495535714
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601106272321428
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.70425909375
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601094908482143
BRD2,SB-DFP,MACCS,99.9999,0,0.70450015625
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601324845982143
BRD2,SB-DFP,MACCS,99.9999,0,0.704398667410714
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601082946428571
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.753503428571429
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601206435267857
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601217453125
BRD2,SB-DFP,MACCS,99.9999,0,0.727437526785714
BRD2,SB-DFP,MACCS,99.9999,0,0.704756970982143
BRD2,SB-DFP,MACCS,99.9999,0,0.704182790178571
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.598816716517857
BRD2,SB-DFP,MACCS,99.9999,0,0.704120892857143
BRD2,SB-DFP,MACCS,99.9999,0,0.704204111607143
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.598742120535714
